261,ひがごと,間違い、過ち,
262,とが,①欠点、短所②罪、過ち,
263,そらごと,嘘、偽り,
264,せうそこ,①手紙、伝言②訪問、来意を告げること,
265,くもい,①宮中、都②天上、空③遠く離れたところ、はるか遠いところ,
266,かしこまり,①お礼②お詫び③謹慎,
267,よ・よのなか,男女の仲、夫婦の仲,
268,かぎり,①最期、最後②すべて、全部③だけ、ばかり,
269,ここら・そこら,たくさん,
270,かたみに,たがいに,
271,わざと,①わざわざ②特別に、とりわけ③本格的な、本式の,
272,うたて,いやなことに、不快に,
273,かねて,①前もって、前から②（日数を示す語の下について）～前から,
274,やをら,そっと、静かに,
275,よもすがら,一晩中、夜通し,
276,ゆめ・ゆめゆめ～打消し・禁止,①まったく～ない、少しも～ない②決して～してはいけない、断じて～してはいけない,
277,をさをさ～打消し,ほとんど～ない、めったに～ない,
278,あなかま,し、静かに、ああ、うるさい,
279,かちより,歩いて、徒歩で,
280,けしからず,異様だ、変だ,
281,おもひやる,想像する、思いをはせる,
282,おきつ,①あらかじめ決める、決めておく②指図する、命令する,
283,すまふ,抵抗する、断る,
284,さす,①閉める、鍵をかける②（動詞の連用形に続いて）途中で～するのをやめる,
285,しほたる,涙で袖が濡れる、涙を流す,
286,たばかる,①工夫する、一計を案じる②だます、ごまかす,
287,まつりごつ,政治を行う,
288,らうらうじ,①もの慣れている、才たけている②気品がある、洗練されている,
289,むくつけし,不気味だ、気味が悪い,
290,おほけなし,身の程知らずだ、分不相応だ,
291,いぶせし,気が晴れない、気になる,
292,しるし,①明白だ、明瞭だ②（「～もしるく」の形で）～もその通りに、～もてきめんに,
293,こよなし,①格段である、格段の差がある②格段に劣っている,
294,くやし,悔やまれる、後悔される,
295,たのし,裕福だ、豊かだ,
296,おもはずなり,思いがけない、意外だ,
297,ことなり,①別である、他と違う②（「こと＋名詞」の形で）違う～、異なる～,
298,いろ,①情趣、風情②恋愛、異性,
299,こころ,情趣を解する心、風流心,
300,ゆえ,①理由、わけ②品格、由緒③風情、趣,
301,あない,内情,
302,さた,①評議、評定②指図、命令③処置、始末,
303,やう,①わけ、事情②手段、方法③こと、様子,
304,あらまし,計画、予定、願い,
305,いそぎ,準備、用意,
306,つま,①先、端②きっかけ、糸口,
307,はらから,兄弟姉妹,
308,けぢめ,区別、違い,
309,そのかみ,①その時②その昔,
310,ただびと,①臣下②普通の貴族,
311,をりふし,①ちょうどその時、折も折②その時々、折々、季節,
312,はやく,①以前、昔②すでに、とっくに③（「はやく～けり」の形で）なんとまあ、実は,
313,つくづくと,しんみりと、しみじみと,
314,せめて,①無理やり、しいて②非常に、きわめて,
315,さりとも,いくらなんでも、それにしても,
316,さて,①そのまま、そのような状態で②そのほかの、それ以外の,
317,おほかた～打消し,まったく～ない、少しも～ない,
318,かまへて,①注意して、気を付けて②ぜひとも③決して,
319,させる,たいした、これといった,
320,さはれ,どうにでもなれ、ままよ,
321,いとしもなし,たいしたことはない,
322,かずならず,とるに足りない、物の数ではない,
323,いかにぞや,あまり感心しない、どんなものか,
324,さればよ・さればこそ,思ったとおりだ、案の定,
325,よのつねなり,①ありきたりだ、普通だ②月並みな表現だ,
326,ただならず,①様子が普通ではない②心が平静ではない③（「ただならずする」の形で）妊娠する、懐妊する,
327,ものもおぼえず,①呆然としている、われを失っている②道理をわきまえない,
328,ひとやりならず,他のせいではなく、自分の心からする,
329,またのひ,翌日、次の日,
330,～あへず,①最後まで～しきれない,「②～するやいなや」も覚えておくといい
