313,tend to do,...する傾向がある
314,be superior to ～,～より優れている
315,in proportion (to ～),（～に）比例して つり合って
316,on (the 〔an〕) average,平均して 概して
317,in spite of ～,～にもかかわらず
318,be connected with 〔to〕 ～,～とつながっている ～と関係がある
319,for the most part,たいてい 大部分は
320,all in all,概して 全体として
321,as for ～,～に関して ～について（言うと）
322,far from ～,決して～ではない
323,"(on (the) one hand ～,) on the other hand ...",（一方では～）他方では...
324,not necessarily,必ずしも...（とは限ら）ない
325,it doesn't matter whether ...,...かどうかは問題〔重要」ではない
326,keep in touch with ～,～と連絡を取る ～と接触を保つ
327,all the 比較級 (...),それだけいっそう〔ますます〕（...）
328,"～ one thing, ... another",～と...は別のことである
329,on the move,移動中で せわしなく動き回って
330,at risk,危険にさらされた
331,on one's 〔the〕 way (to ～),（～への）途中で
332,right now 〔away；off〕,現在 今すぐ
333,at random,無作為に 雑然と でたらめに
334,abide by ～,～（規則・約束などを）忠実に守る
335,put down ～,～を下に置く ～を書き留める
336,as a matter of course,当然のことながら
337,be all eyes,一心に見る
338,commit 〔make〕 an error,過ちを犯す 間違える
339,fail to do,...できない ...しない
340,it goes without saying that ...,...は言うまでもない
341,cannot 〔can't〕 help ...ing,...せずにはいられない
342,see O ...ing,Ｏが...しているのを見る（知覚動詞）
343,regret ...ing,...したことを後悔する
344,be familiar to ～,～になじみがある ～によく知られている
345,dependent on 〔upon〕 ～,～に依存している ～に頼っている
346,be based on 〔upon〕 ～,～に基づいている
347,become aware of ～,～に気づく ～を認識する
348,according to ～,～によると ～に従って
349,in charge of ～,～を担当して ～の責任者で
350,be responsible for ～,～の原因である ～に責任がある
351,be good at ～,～が得意である
352,～ as well,同様に～ ～もまた
353,suffer from ～,～を患う ～で苦しむ
354,(every) now and then 〔again〕,時々
355,be conscious of ～,～を意識している ～に気づいている
356,The reason is that ...,その理由は...だからだ
357,the same ～ as ...,...と同じ（ような）～
358,provided 〔providing〕 (that) ...,もし...なら
359,by the time ...,...までには
360,come about,起こる 生じる
361,in the first place,まず 第一に
362,date back to ～,～にさかのぼる
363,pride oneself on ～,～を誇りに思う ～が自慢である
364,make A from B,B(原料）からAを作る
365,fall apart,ばらばらに壊れる 崩壊する
366,deal in ～,～（商品）を扱う
367,break in,侵入する 押し入る
368,in the presence of ～,～の（面）前で ～がいる前で
369,succeed in ～,～に成功する
370,be free of ～,～（有害物）を含まない ～（料金・税金など）が免除されている
371,make for ～,～を生み出す ～に役立つ ～へ向かって行く
372,no longer ...,もはや...ない
373,fill out ～,～に（必要事項などを）記入する 記入する
374,make a reservation,予約する
375,have a good time (...ing),（...して）楽しい時を過ごす
376,not A but B,AではなくBである
377,believe in ～,～（の存在・人格）を信じる ～の正当性を信じる
378,lay out ～,～（考えなど）を述べる ～の設計をする
379,object to ～,～に反対する
380,feel free to do,自由に...する 遠慮なく...する
381,live for ～,～のために生きる
382,make good (on ～),(～(目的・約束など）を）果たす ～（損失など）を償う 成功する
383,come to an end,終わる
384,in private,個人的〔私的〕に
385,by chance,たまたま 偶然
386,ask for ～,～（助け・物）を求める ～（人）との（面会・話すこと）を求める
387,come true,実現する
388,all the time,いつも その間ずっと
389,prefer A to B,BよりAを好む
390,if ... at all,いやしくも〔仮にも〕...したなら
391,none the 比較級 because ...,...にもかかわらず それでもなお
392,in general,一般に
393,be characteristic of ～,～の特徴〔に特有のもの〕である
394,be certain 〔sure〕 of 〔about〕 ～,～を確信している
395,out of place,場違いな 間違った場所の〔に〕
396,in comparison with 〔to〕 ～,～と比較すると
